date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,twse,009813,437633,,,
2026-09-03,TWT96U,tpex,3207,68459,,,
2026-09-03,TWT96U,twse,009816,41298329,,,
2026-09-03,TWT96U,tpex,3211,392402,,,
2026-09-03,TWT96U,twse,009817,355749,,,
2026-09-03,TWT96U,tpex,3213,126144,,,
2026-09-03,TWT96U,twse,009818,75337,,,
2026-09-03,TWT96U,tpex,3217,183761,,,
2026-09-03,TWT96U,twse,009819,1724138,,,
2026-09-03,TWT96U,tpex,3218,82759,,,
2026-09-03,TWT96U,twse,00981A,74140900,,,
2026-09-03,TWT96U,tpex,3219,144428,,,
2026-09-03,TWT96U,twse,00981T,1078519,,,
2026-09-03,TWT96U,tpex,3221,955430,,,
2026-09-03,TWT96U,twse,009820,2707695,,,
2026-09-03,TWT96U,tpex,3224,11275,,,
2026-09-03,TWT96U,twse,009821,3381928,,,
2026-09-03,TWT96U,tpex,3226,8409,,,
2026-09-03,TWT96U,twse,009824,1987059,,,
2026-09-03,TWT96U,tpex,3227,317748,,,
2026-09-03,TWT96U,twse,009826,7984959,,,
2026-09-03,TWT96U,tpex,3230,346087,,,
2026-09-03,TWT96U,twse,009827,0,,,
2026-09-03,TWT96U,tpex,3232,8720,,,
2026-09-03,TWT96U,twse,009828,0,,,
2026-09-03,TWT96U,tpex,3236,1038861,,,
2026-09-03,TWT96U,twse,009829,15673171,,,
2026-09-03,TWT96U,tpex,3252,12317,,,
2026-09-03,TWT96U,twse,00982A,8947806,,,
2026-09-03,TWT96U,tpex,3260,3745395,,,
2026-09-03,TWT96U,twse,00982D,236055,,,
2026-09-03,TWT96U,tpex,3264,2055477,,,
2026-09-03,TWT96U,twse,00982T,25401,,,
2026-09-03,TWT96U,tpex,3265,526927,,,
2026-09-03,TWT96U,twse,00983A,358137,,,
2026-09-03,TWT96U,tpex,3268,28814,,,
2026-09-03,TWT96U,twse,00983D,251132,,,
2026-09-03,TWT96U,tpex,3272,22810,,,
2026-09-03,TWT96U,twse,00984A,1619808,,,
2026-09-03,TWT96U,tpex,3276,92986,,,
2026-09-03,TWT96U,twse,00984D,7219287,,,
2026-09-03,TWT96U,tpex,3284,88501,,,
