date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2020-05-29,058894,元油2X元大9C購11,2,連續三次,第一次處置,2020-06-01,2020-06-12
2020-06-03,058894,元油2X元大9C購11,2,連續三次,第二次處置,2020-06-04,2020-06-17
2020-06-05,059026,FBVIX台新99購03,2,連續三次,第一次處置,2020-06-08,2020-06-19
2020-06-10,059026,FBVIX台新99購03,2,連續三次,第二次處置,2020-06-11,2020-06-24
2026-07-02,059570,強茂凱基5B購03,1,連續三次,第一次處置,2026-07-03,2026-07-16
2022-07-08,060199,華新永豐17購01,1,連續三次,第一次處置,2022-07-11,2022-07-22
2020-08-03,060847,康控國票9A購01,4,連續三次,第一次處置,2020-08-04,2020-08-17
2020-08-06,060847,康控國票9A購01,4,連續三次,第二次處置,2020-08-07,2020-08-20
2020-08-17,060847,康控國票9A購01,4,連續三次,第二次處置,2020-08-18,2020-08-31
2020-08-20,060847,康控國票9A購01,4,連續三次,第二次處置,2020-08-21,2020-09-03
2017-12-28,062015,彩晶台新71購01,1,連續三次,第一次處置,2017-12-29,2018-01-12
2025-05-27,062736,台光電台新46購03,1,連續三次,第一次處置,2025-05-28,2025-06-11
2018-01-11,063514,康控日盛71購02,2,連續三次,第一次處置,2018-01-12,2018-01-25
2018-01-16,063514,康控日盛71購02,2,連續三次,第二次處置,2018-01-17,2018-01-30
2026-06-11,063950,揚博凱基5B購01,1,連續三次,第一次處置,2026-06-12,2026-06-26
2017-11-13,064656,玉晶光台新73購02,1,連續三次,第一次處置,2017-11-14,2017-11-27
2017-10-27,064766,玉晶光國泰72購04,1,連續三次,第一次處置,2017-10-30,2017-11-10
2020-03-25,06526P,元油2X永豐98售03,1,連續三次,第一次處置,2020-03-26,2020-04-10
2020-03-25,06565P,元油2X永豐9A售01,1,連續三次,第一次處置,2020-03-26,2020-04-10
2018-01-09,065750,康控台新73購02,1,連續三次,第一次處置,2018-01-10,2018-01-23
2020-03-19,06609P,元油2X凱基9B售06,3,連續三次,第一次處置,2020-03-20,2020-04-06
2020-03-24,06609P,元油2X凱基9B售06,3,連續三次,第二次處置,2020-03-25,2020-04-09
2020-03-27,06609P,元油2X凱基9B售06,3,連續三次,第二次處置,2020-03-30,2020-04-14
2026-07-06,066762,國巨永豐65購01,1,連續三次,第一次處置,2026-07-07,2026-07-20
2021-06-23,066965,鴻海元富07購07,2,連續三次,第一次處置,2021-06-24,2021-07-07
2021-06-28,066965,鴻海元富07購07,2,連續三次,第二次處置,2021-06-29,2021-07-12
2026-06-03,067782,國巨中信65購03,1,連續三次,第一次處置,2026-06-04,2026-06-17
2024-10-04,068389,T50反1元大3B購01,1,連續三次,第一次處置,2024-10-07,2024-10-21
2021-07-08,068524,友達元富07購01,1,連續三次,第一次處置,2021-07-09,2021-07-22
2024-03-08,069954,中興電中信38購01,2,連續三次,第一次處置,2024-03-11,2024-03-22
2024-07-19,069954,中興電中信38購01,2,連續三次,第一次處置,2024-07-22,2024-08-02
2024-09-18,070280,T50反1群益3B購02,1,連續三次,第一次處置,2024-09-19,2024-10-02
2021-01-22,070282,聯發科凱基08購01,1,連續三次,第一次處置,2021-01-25,2021-02-05
2025-04-14,07076P,致茂凱基49售01,1,連續三次,第一次處置,2025-04-15,2025-04-28
2020-03-24,07097P,元油2X元大9C售09,1,連續三次,第一次處置,2020-03-25,2020-04-09
2021-07-06,071342,友達元富09購01,1,連續三次,第一次處置,2021-07-07,2021-07-20
2014-05-07,07396P,AA元大,2,連續三次,第一次處置,2014-05-08,2014-05-21
2014-05-12,07396P,AA元大,2,連續三次,第二次處置,2014-05-13,2014-05-26
2021-05-11,074008,亞光凱基05購01,2,連續三次,第一次處置,2021-05-12,2021-05-25
2021-05-14,074008,亞光凱基05購01,2,連續三次,第二次處置,2021-05-17,2021-05-28
2025-07-04,074123,SGBR2X元大4C購01,1,連續三次,第一次處置,2025-07-07,2025-07-18
2018-08-30,074125,國巨麥證79購01,1,連續三次,第一次處置,2018-08-31,2018-09-13
2018-08-31,074264,華新科麥證79購01,1,連續三次,第一次處置,2018-09-03,2018-09-14
2014-08-06,074302,兆豐ME,1,連續三次,第一次處置,2014-08-07,2014-08-20
2021-05-25,074743,群創元大07購01,1,連續三次,第一次處置,2021-05-26,2021-06-08
2018-08-30,075953,國巨麥證7A購02,1,連續三次,第一次處置,2018-08-31,2018-09-13
2018-08-31,075958,華新科麥證79購02,1,連續三次,第一次處置,2018-09-03,2018-09-14
2018-10-18,076107,國巨中信7B購01,3,連續三次,第一次處置,2018-10-19,2018-11-01
2018-10-23,076107,國巨中信7B購01,3,連續三次,第二次處置,2018-10-24,2018-11-06
2018-10-26,076107,國巨中信7B購01,3,連續三次,第二次處置,2018-10-29,2018-11-09
2018-09-18,076145,奇力新日盛79購01,1,連續三次,第一次處置,2018-09-19,2018-10-03
