futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
MTX,2025-07-04,自營商,9384,10612869,11001,12421171,3946,4398268,6978,7796401
TX,2025-07-04,外資,37772,170937078,41661,188531111,20056,89947045,75267,337464721
TX,2025-07-04,投信,231,1036899,757,3397126,62185,279036532,13674,61357973
TX,2025-07-04,自營商,6737,30432025,5115,23110931,11492,51442071,4060,18170248
MTX,2025-07-07,外資,69409,77576482,68713,76799779,2746,3063414,5737,6402207
MTX,2025-07-07,投信,7,7814,7,7817,392,437629,17,18979
MTX,2025-07-07,自營商,8152,9103735,8782,9802224,4448,4939571,8046,8949574
TX,2025-07-07,外資,41457,185347230,42965,192091417,18162,81055699,74950,334434752
TX,2025-07-07,投信,361,1611506,955,4263473,61619,275165547,13702,61187651
TX,2025-07-07,自營商,5949,26577072,6211,27739184,11178,49795713,4028,17933828
MTX,2025-07-08,外資,80241,89388803,80498,89662676,3341,3715950,6298,7004270
MTX,2025-07-08,投信,13,14470,2,2226,405,450725,19,21145
MTX,2025-07-08,自營商,10441,11610865,11815,13130459,4513,4994296,9386,10408431
TX,2025-07-08,外資,50348,224367627,51041,227403484,18043,80264848,75573,336107370
TX,2025-07-08,投信,2272,10115993,950,4228194,63182,281260647,13943,62068659
TX,2025-07-08,自營商,7880,35050776,7221,32136980,11338,50340160,3550,15757072
MTX,2025-07-09,外資,66375,73981713,66252,73840060,4908,5503073,4073,4566458
MTX,2025-07-09,投信,3,3365,0,0,407,456532,18,20191
MTX,2025-07-09,自營商,9047,10077798,8034,8950247,4757,5304780,8198,9162072
TX,2025-07-09,外資,39644,176846102,40044,178626309,16670,74738129,75381,337900392
TX,2025-07-09,投信,990,4432450,10,44811,63952,286933886,13733,61617224
TX,2025-07-09,自營商,6155,27454535,6914,30860332,10906,48800676,3990,17852657
MTX,2025-07-10,外資,77209,86849837,75174,84553580,5425,6128445,3410,3852423
MTX,2025-07-10,投信,1,1131,0,0,408,461183,18,20346
MTX,2025-07-10,自營商,11439,12851628,9972,11203180,6098,6851215,8003,9007239
TX,2025-07-10,外資,47338,213109877,45303,203896284,16897,76326592,73265,330870650
TX,2025-07-10,投信,393,1772151,234,1056974,63963,289191794,13585,61423219
TX,2025-07-10,自營商,7117,32009307,8099,36470223,10478,47208126,4576,20625315
MTX,2025-07-11,外資,67012,75810689,65682,74284562,6193,7044983,2625,2985560
MTX,2025-07-11,投信,67,75680,59,67172,414,470676,16,18214
MTX,2025-07-11,自營商,11004,12425809,9636,10883126,6117,6916898,6961,7884888
TX,2025-07-11,外資,48480,219494103,49656,224697305,16583,75349210,74075,336646144
TX,2025-07-11,投信,5271,23829395,3676,16699238,65376,297542108,13403,61029220
TX,2025-07-11,自營商,7943,35925585,8177,37018301,10507,47639824,4874,22124395
MTX,2025-07-14,外資,58122,65715145,64124,72510594,3149,3542054,5782,6512421
MTX,2025-07-14,投信,162,181509,206,232108,371,416604,17,19031
MTX,2025-07-14,自營商,8840,9976547,9445,10632071,7484,8397269,9485,10632246
TX,2025-07-14,外資,82083,370402530,84264,379505118,15888,71309821,75761,340143065
TX,2025-07-14,投信,34777,156003162,35439,159715700,64969,291948127,13658,61385407
TX,2025-07-14,自營商,10699,48213133,9635,43420700,11210,50341388,4504,20228523
MTX,2025-07-15,外資,78259,88624493,73714,83497647,5231,5952789,2984,3401925
MTX,2025-07-15,投信,114,129182,149,169848,334,378667,15,17002
MTX,2025-07-15,自營商,13349,15093573,11837,13397707,6123,6943351,6517,7397588
TX,2025-07-15,外資,86440,392189738,82102,371966753,20444,92852584,75796,343783424
TX,2025-07-15,投信,37460,169798442,37298,169772207,64883,294220383,13410,60806223
TX,2025-07-15,自營商,12506,56688978,13447,60996277,10213,46371046,4478,20337022
MTX,2025-07-16,外資,66792,76495732,61966,70961551,5764,6603458,100,114503
MTX,2025-07-16,投信,18,20618,14,16115,338,387297,15,17188
MTX,2025-07-16,自營商,14511,16614264,13046,14941639,5384,6158916,3244,3708267
TX,2025-07-16,外資,53709,246128431,51413,235553004,16792,76943740,70188,321633501
TX,2025-07-16,投信,2930,13440921,2539,11687302,64811,297054737,12947,59341280
TX,2025-07-16,自營商,10378,47584808,12963,59488175,7231,33126535,3440,15744420
MTX,2025-07-17,外資,70836,81280142,73882,84750249,4843,5601236,1943,2247403
MTX,2025-07-17,投信,3,3469,0,0,338,391015,12,13882
MTX,2025-07-17,自營商,7379,8470013,6381,7317866,5880,6790508,2812,3244180
TX,2025-07-17,外資,49039,225204027,47934,220056768,18670,86373632,70887,327957746
TX,2025-07-17,投信,835,3863214,2280,10531808,62923,291169890,12504,57861010
TX,2025-07-17,自營商,6469,29723378,6602,30341761,7292,33722777,3673,16971662
MTX,2025-07-18,外資,70288,81928703,73609,85804558,2744,3190499,3369,3916959
MTX,2025-07-18,投信,0,0,4,4652,334,388442,12,13956
MTX,2025-07-18,自營商,7347,8560553,8027,9349618,5544,6437027,3135,3636666
TX,2025-07-18,外資,46747,217928572,42494,198127510,19259,89573404,67269,312873138
TX,2025-07-18,投信,350,1629436,5214,24271220,57751,268657652,12196,56735792
TX,2025-07-18,自營商,7478,34846110,7585,35351583,7088,32953443,3591,16679908
MTX,2025-07-21,外資,46796,54356948,48297,56099261,2890,3354600,5223,6062960
MTX,2025-07-21,投信,6,6965,10,11610,331,384291,13,15093
MTX,2025-07-21,自營商,4123,4786874,4357,5057948,5460,6330623,3325,3852493
TX,2025-07-21,外資,32468,150854869,30902,143587285,18223,84609882,64779,300780007
TX,2025-07-21,投信,149,691930,2051,9524350,55902,259608888,12249,56884356
TX,2025-07-21,自營商,5021,23322405,4221,19607827,7659,35552004,3350,15534350
MTX,2025-07-22,外資,79371,92154548,80215,93130692,2444,2809384,5994,6890254
MTX,2025-07-22,投信,0,0,4,4671,327,375985,13,14947
MTX,2025-07-22,自營商,7660,8889663,9218,10681188,5269,6050024,4675,5366751
TX,2025-07-22,外資,48983,227325726,46915,217770383,20179,92789581,64773,297850497
