cb_id,stock_id,cb_name,InitialDateOfConversion,DueDateOfConversion,IssuanceAmount
30424,3042,晶技四,2013-02-26,2016-01-15,800000000
30425,3042,晶技五,2021-10-27,2024-07-26,1200000000
30432,3043,科風二,2011-11-25,2014-10-14,300000000
30453,3045,台灣大三,2016-12-23,2021-11-22,10000000000
30454,3045,台灣大四,2025-05-25,2030-02-24,7000000000
30455,3045,台灣大五,2025-05-26,2030-02-25,3000000000
30472,3047,訊舟二,2007-08-17,2012-05-07,200000000
30473,3047,訊舟三,2009-10-18,2014-09-07,200000000
30474,3047,訊舟四,2010-09-30,2015-06-19,200000000
30475,3047,訊舟五,2012-01-09,2016-11-28,270000000
30476,3047,訊舟六,2013-03-28,2018-02-17,400000000
30477,3047,訊舟七,2021-07-01,2026-03-30,400000000
30481,3048,益登一,2014-08-12,2017-07-01,300000000
30542,3054,萬國二,2012-12-28,2015-11-17,250000000
30543,3054,立萬利三,2014-02-03,2016-12-22,350000000
30562,3056,總太二,2013-06-14,2016-05-03,700000000
30571,3057,喬鼎一,2011-02-15,2014-01-04,600000000
30581,3058,立德一,2011-04-25,2014-03-14,300000000
30602,3060,銘異二,2009-12-31,2014-11-20,750000000
30603,3060,銘異三,2011-10-22,2016-09-11,647000000
30614,3061,璨圓四,2012-09-01,2017-07-21,1500000000
30681,3068,美磊一,2010-12-06,2015-10-26,700000000
30711,3071,協禧一,2010-03-27,2012-02-16,300000000
30731,3073,普格一,2008-11-25,2011-10-14,350000000
30732,3073,普格二,2008-11-25,2011-10-14,50000000
30733,3073,普格三,2012-01-06,2014-11-26,300000000
30851,3085,久大一,2010-03-23,2013-02-12,200000000
30861,3086,華義一,2015-01-24,2017-12-23,300000000
30881,3088,艾訊一,2017-01-14,2021-12-13,420000000
30882,3088,艾訊二,2023-11-29,2026-08-28,800000000
30892,3089,展成二,2013-09-14,2016-08-03,300000000
30921,3092,鴻碩一,2020-12-22,2023-09-21,500000000
30922,3092,鴻碩二,2023-10-05,2026-07-04,250000000
30951,3095,及成一,2008-01-18,2012-12-07,1000000000
30953,3095,及成三,2011-03-22,2014-02-11,500000000
30954,3095,及成四,2025-05-26,2028-02-25,150000000
31221,3122,笙泉一,2021-12-28,2024-09-27,200000000
